Ranking of the world's countries by 2017 per capita fossil-fuel CO2 emissions
rates. National per capita estimates (CO2_CAP) are expressed in metric tons of
tons of carbon (not CO2). To convert these estimates to units of carbon dioxide
(CO2), simply multiply these estimates by 3.667.

SOURCE:  Dennis Gilfillan and Gregg Marland
         Research Institute for Environment, Energy, and Economics
         Appalachian State University
         Boone, NC 28608-2131 USA
SOURCE:  Tom Boden and Bob Andres
         Carbon Dioxide Information Analysis Center
         Oak Ridge National Laboratory
         Oak Ridge, TN 37831-6290 USA


RANK     NATION                                                      CO2_CAP
200      ERITREA                                                         0.06
201      AFGHANISTAN                                                     0.05
202      MALI                                                            0.05
203      GUINEA BISSAU                                                   0.04
204      MADAGASCAR                                                      0.04
205      ETHIOPIA                                                        0.04
206      SIERRA LEONE                                                    0.04
207      UGANDA                                                          0.04
208      REPUBLIC OF SOUTH SUDAN                                         0.04
209      NIGER                                                           0.03
210      RWANDA                                                          0.02
211      MALAWI                                                          0.02
212      CHAD                                                            0.02
213      CENTRAL AFRICAN REPUBLIC                                        0.02
214      BURUNDI                                                         0.01
215      SOMALIA                                                         0.01
216      DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE)               0.01
